turtles-at,dictionary,dict/turtles-at,dictionary-turtles-at
turtles-here,dictionary,dict/turtles-here,dictionary-turtles-here
turtles-on,dictionary,dict/turtles-on,dictionary-turtles-on
turtles-own,dictionary,dict/turtles-own,dictionary-turtles-own
type,dictionary,dict/type,dictionary-type
undirected-link-breed,dictionary,dict/undirected-link-breed,dictionary-undirected-link-breed
untie,dictionary,dict/untie,dictionary-untie
up-to-n-of,dictionary,dict/up-to-n-of,dictionary-up-to-n-of
update-plots,dictionary,dict/update-plots,dictionary-update-plots
uphill,dictionary,dict/uphill,dictionary-uphill
uphill4,dictionary,dict/uphill,dictionary-uphill
user-directory,dictionary,dict/user-directory,dictionary-user-directory
user-file,dictionary,dict/user-file,dictionary-user-file
user-new-file,dictionary,dict/user-new-file,dictionary-user-new-file
user-input,dictionary,dict/user-input,dictionary-user-input
user-message,dictionary,dict/user-message,dictionary-user-message
user-one-of,dictionary,dict/user-one-of,dictionary-user-one-of
user-yes-or-no?,dictionary,dict/user-yes-or-no,dictionary-user-yes-or-no
variance,dictionary,dict/variance,dictionary-variance
wait,dictionary,dict/wait,dictionary-wait
watch,dictionary,dict/watch,dictionary-watch
watch-me,dictionary,dict/watch-me,dictionary-watch-me
while,dictionary,dict/while,dictionary-while
who,dictionary,dict/who,dictionary-who
who-are-not,dictionary,dict/who-are-not,dictionary-who-are-not
with,dictionary,dict/with,dictionary-with
<breed>-with,dictionary,dict/link-with,dictionary-link-with
link-with,dictionary,dict/link-with,dictionary-link-with
with-max,dictionary,dict/with-max,dictionary-with-max
with-min,dictionary,dict/with-min,dictionary-with-min
